2.953,3.137,3.382,3.687,3.94,4.03,4.03,4.02,3.809,3.667,3.625
2.851,3.039,3.336,3.76,4.07,4.07,4.07,4.07,3.77,3.607,3.583
2.725,2.909,3.237,3.891,4.01,4.01,4.02,4.03,3.72,3.537,3.519
2.59,2.731,3.065,4.07,3.866,4.01,3.98,3.918,3.58,3.441,3.451
2.432,2.514,2.733,3.321,3.592,4.07,3.933,3.738,3.312,3.335,3.386
2.258,2.264,2.252,2.539,3.164,4.07,3.82,3.543,2.954,3.182,3.345
2.092,2.006,1.77,1.633,2.672,3.523,3.734,3.4,2.476,3.15,3.332
1.965,1.809,1.433,1.074,2.207,3.155,3.87,3.556,1.876,3.182,3.382
1.804,1.522,1.314,1.146,1.732,2.663,4.07,4.07,2.594,3.355,3.478
1.676,1.364,1.216,1.049,0,2.214,3.64,4.07,3.785,3.648,3.596
1.576,1.15,0,0,1.356,2.199,3.286,3.845,4.07,3.984,3.72
1.52,0,0.989,1.34,1.656,2.295,3.114,3.642,3.926,4.07,3.799
1.492,1.294,1.316,1.464,1.785,2.333,3.051,3.529,3.82,3.942,3.83
